26-Jul-2016 12:11:38 (1.902274,-0.869572) loss 0.01
26-Jul-2016 12:11:48 (1.902274,3.130428) loss 0.01
26-Jul-2016 12:12:18 (1.427130,-2.114661) loss 0.0119478
26-Jul-2016 12:12:29 (1.427130,1.885339) loss 0.0119478
26-Jul-2016 12:18:15 (-2.572870,-2.114661) loss 0.3009169
26-Jul-2016 12:18:16 (3.427130,-2.114661) loss 0.0119478
26-Jul-2016 12:18:28 (1.427130,-0.114661) loss 0.0119478
26-Jul-2016 12:18:31 (-0.572870,-2.114661) loss 0.0119478
26-Jul-2016 12:18:33 (1.427130,-4.114661) loss 0.0119478
26-Jul-2016 12:18:37 (2.427130,-2.114661) loss 0.0119478
26-Jul-2016 12:18:46 (1.427130,-1.114661) loss 0.0119478
26-Jul-2016 12:18:50 (0.427130,-2.114661) loss 0.0119478
26-Jul-2016 12:18:55 (1.427130,-3.114661) loss 0.0119478
26-Jul-2016 12:19:02 (1.927130,-2.114661) loss 0.0119478
26-Jul-2016 12:19:10 (1.427130,-1.614661) loss 0.0119478
26-Jul-2016 12:19:15 (0.927130,-2.114661) loss 0.0119478
26-Jul-2016 12:19:21 (1.427130,-2.614661) loss 0.0119478
26-Jul-2016 12:19:28 (1.677130,-2.114661) loss 0.0119478
26-Jul-2016 12:19:36 (1.427130,-1.864661) loss 0.0119478
26-Jul-2016 12:19:42 (1.177130,-2.114661) loss 0.0119478
26-Jul-2016 12:19:48 (1.427130,-2.364661) loss 0.0119478
26-Jul-2016 12:20:19 (0.047741,1.141191) loss 0.0119478
26-Jul-2016 12:20:20 (4.047741,1.141191) loss 0.0030564
26-Jul-2016 12:26:03 (-3.952259,1.141191) loss 0.3050847
26-Jul-2016 12:26:09 (0.047741,1.141191) loss 0.0119478
26-Jul-2016 12:26:09 (4.047741,-2.858809) loss 0.0119478
26-Jul-2016 12:26:13 (4.047741,3.141191) loss 0.0022228
26-Jul-2016 12:26:19 (0.047741,3.141191) loss 0.0119478
26-Jul-2016 12:26:20 (4.047741,-0.858809) loss 0.0100028
26-Jul-2016 12:26:28 (2.047741,3.141191) loss 0.0119478
26-Jul-2016 12:26:29 (4.047741,1.141191) loss 0.0030564
26-Jul-2016 12:26:29 (4.047741,4.141191) loss 0.0025007
26-Jul-2016 12:26:31 (3.047741,3.141191) loss 0.0119478
26-Jul-2016 12:26:34 (4.047741,2.141191) loss 0.0022228
26-Jul-2016 12:26:42 (4.547741,3.141191) loss 0.0036121
26-Jul-2016 12:26:43 (4.047741,3.641191) loss 0.0025007
26-Jul-2016 12:26:44 (3.547741,3.141191) loss 0.0108363
26-Jul-2016 12:26:48 (4.047741,2.641191) loss 0.0019450
26-Jul-2016 12:26:49 (4.047741,3.641191) loss 0.0025007
26-Jul-2016 12:26:50 (3.047741,2.641191) loss 0.0119478
